,пятерочки,айди_магазина,магазины
105542,0,8804,1
105686,1,8816,4
105769,0,8823,2
106029,1,8844,6
106403,1,8876,2
106676,1,8899,6
106743,2,8905,9
106790,1,8909,3
106914,0,8919,8
106926,1,8920,5
107296,0,8951,0
107453,3,8964,10
107501,2,8968,13
108206,4,9027,11
108303,1,9035,4
108601,0,9060,7
109748,1,9156,9
109771,1,9158,3
109835,1,9163,6
109856,2,9165,5
110102,3,9185,8
110214,2,9194,6
110370,1,9207,3
110381,0,9208,1
110564,4,9224,8
110901,1,9252,4
110912,1,9253,1
111213,3,9278,8
111286,1,9284,1
111364,0,9290,3
111486,2,9300,5
111630,1,9312,1
112208,1,9361,3
112266,1,9365,6
112503,0,9385,0
112847,2,9414,8
113204,1,9444,9
113310,0,9453,3
113488,1,9468,3
113519,1,9470,3
113740,1,9489,3
113839,0,9497,5
113949,0,9506,0
114007,0,9511,4
114112,0,9520,3
114175,2,9525,6
114234,3,9530,11
114251,1,9531,4
114320,1,9537,4
114836,2,9580,3
114843,1,9581,3
114869,0,9583,1
114960,0,9591,1
115003,0,9594,1
115036,3,9597,5
115052,0,9598,0
115111,1,9603,4
115118,1,9604,9
115200,1,9611,9
115312,0,9620,4
115390,1,9626,1
115422,2,9629,5
115587,1,9643,5
115657,1,9649,3
115707,2,9653,5
115791,0,9660,1
115982,0,9676,4
116106,1,9686,4
116170,0,9691,4
116186,0,9693,0
116538,2,9722,7
116618,1,9729,5
116630,2,9730,6
116816,0,9745,0
116973,1,9758,5
117035,2,9763,5
117050,0,9765,4
117302,1,9786,6
117313,0,9787,0
117326,1,9788,2
117350,0,9790,0
117473,0,9800,2
117555,2,9807,4
117614,2,9812,11
118081,1,9851,6
118113,1,9853,5
118207,0,9861,3
118243,0,9864,2
118360,0,9874,4
118406,0,9878,0
118594,1,9893,4
118639,1,9897,4
118707,0,9903,1
118756,0,9907,2
118873,0,9917,3
119111,2,9936,7
119316,0,9954,1
119965,0,10008,0
120243,1,10031,1
120318,0,10037,3
120399,2,10044,7
120456,0,10049,1
120517,2,10054,4
120558,0,10057,7
120567,0,10058,1
120620,1,10062,3
120781,2,10076,8
120854,1,10082,3
120936,1,10089,7
120948,2,10090,5
121271,0,10116,0
121344,0,10123,2
121591,1,10143,2
121626,4,10146,7
121726,2,10154,9
121807,1,10161,2
121855,0,10165,9
122239,0,10197,7
122532,2,10222,10
122572,2,10225,8
122904,2,10253,5
123015,2,10262,6
123032,1,10263,5
123115,3,10270,6
123264,3,10283,8
123288,0,10285,2
123313,2,10287,6
123563,3,10307,11
123646,0,10314,0
123713,1,10320,5
123775,0,10325,4
123840,3,10331,6
124150,3,10357,7
124203,1,10361,4
124281,0,10368,1
124302,3,10369,10
124577,3,10392,12
124621,0,10396,6
124812,1,10412,3
124906,2,10420,8
124937,1,10422,7
125026,0,10430,1
125115,0,10437,2
125330,2,10455,7
125799,0,10494,2
125813,2,10495,5
126147,0,10523,4
126166,1,10525,3
126300,4,10536,9
126618,0,10562,0
127017,0,10596,0
127029,1,10597,3
127072,2,10600,8
127345,2,10623,5
127461,0,10633,1
127595,1,10644,5
127757,0,10657,1
127764,1,10658,4
128013,1,10679,4
128145,1,10690,5
128182,1,10693,3
128294,1,10702,5
128357,3,10707,7
128511,1,10720,5
128671,0,10734,0
129050,0,10765,0
129110,0,10770,0
129131,1,10772,6
129303,0,10786,2
129463,0,10800,0
129771,2,10825,7
129786,2,10826,5
129867,1,10833,6
129998,2,10844,9
130007,1,10845,5
130062,0,10849,5
130427,0,10880,1
130658,3,10899,8
130733,0,10906,4
130850,2,10915,7
130947,0,10923,5
131236,0,10948,2
131283,0,10951,2
131306,0,10953,0
131353,1,10957,2
131410,0,10962,2
131425,3,10963,10
131448,0,10965,5
131800,0,10995,1
131908,1,11004,3
131927,0,11005,1
132143,1,11023,11
132164,1,11025,8
132656,0,11066,1
132785,1,11077,5
132994,0,11094,2
133568,0,11142,0
133606,4,11145,8
133692,0,11153,1
133823,0,11163,4
133971,2,11176,5
134068,0,11184,5
134415,1,11213,5
134439,2,11215,2
134841,1,11248,6
134864,0,11250,9
134885,3,11252,13
134908,0,11254,6
134969,0,11259,4
135103,1,11270,5
135288,2,11286,8
135394,0,11294,1
135406,1,11295,4
135435,0,11298,1
135612,3,11313,4
136000,1,11345,3
136048,3,11349,7
136132,0,11356,2
136168,0,11359,1
136218,5,11363,9
136266,0,11367,8
136293,1,11369,5
136343,0,11373,0
136350,0,11374,1
136752,1,11408,8
136847,2,11416,5
137341,2,11458,4
137371,1,11460,3
137379,0,11461,1
137422,0,11464,5
137425,1,11465,12
137563,1,11476,3
137608,2,11480,5
137685,2,11486,10
137896,0,11504,5
137957,2,11509,4
138007,0,11513,3
138025,1,11515,2
138060,0,11518,2
138107,0,11522,0
138571,2,11560,8
138576,2,11561,5
138697,2,11571,2
138890,0,11587,2
139224,0,11615,1
139282,1,11620,7
139303,1,11622,5
139322,0,11623,4
139830,0,11666,1
139919,0,11673,3
140053,0,11684,2
140394,1,11713,3
140505,2,11722,7
140577,1,11728,6
140918,1,11756,6
141317,1,11789,3
141491,2,11804,7
141653,1,11817,6
141727,3,11824,10
141746,3,11825,7
141812,3,11831,7
141828,2,11832,7
141849,0,11834,1
141860,0,11835,7
141956,1,11843,6
141992,0,11846,1
142053,0,11851,3
142406,0,11880,0
142630,1,11899,3
142729,0,11907,8
142742,2,11908,10
142833,1,11916,3
143019,1,11931,2
143127,1,11940,2
143555,1,11976,3
143812,1,11997,5
143865,1,12002,10
143896,0,12004,0
143967,0,12010,0
144085,0,12020,4
144091,0,12021,2
144101,1,12022,2
144215,2,12031,6
144254,1,12034,4
144847,1,12084,2
145252,0,12118,0
145421,1,12132,3
145452,1,12134,8
145563,2,12144,2
146017,0,12181,1
146550,2,12226,4
146556,1,12227,5
146592,0,12230,3
146745,1,12242,9
146829,2,12249,4
147271,2,12287,4
147280,1,12288,4
147538,1,12309,5
147547,0,12310,7
147603,2,12315,6
147716,0,12324,0
147840,1,12334,1
147856,0,12336,1
147893,0,12339,2
147908,0,12340,1
147963,3,12345,9
148253,0,12369,0
148461,1,12386,2
148462,0,12387,1
148605,0,12398,1
148684,0,12405,6
148686,1,12406,4
148697,0,12407,0
148739,1,12410,3
148749,0,12411,3
148924,1,12425,1
