,выручка,дата_открытия
419,91833177.936,Средний по возрасту
420,87609054.989,Средний по возрасту
421,92780732.611,Средний по возрасту
422,101529870.166,Средний по возрасту
423,99722450.698,Средний по возрасту
424,99565698.315,Средний по возрасту
425,96941422.031,Средний по возрасту
426,98144293.898,Средний по возрасту
427,96713169.745,Средний по возрасту
428,95770159.69,Средний по возрасту
429,102034306.106,Средний по возрасту
430,110304171.662,Средний по возрасту
431,132224657.935,Средний по возрасту
432,85584254.403,Средний по возрасту
433,87618222.429,Средний по возрасту
434,95526306.505,Средний по возрасту
435,91663683.259,Средний по возрасту
436,90698065.093,Средний по возрасту
437,76534203.207,Средний по возрасту
438,75080458.881,Средний по возрасту
439,73388415.61,Средний по возрасту
440,75908466.362,Средний по возрасту
441,84691230.045,Средний по возрасту
442,89954461.605,Средний по возрасту
443,104888836.111,Средний по возрасту
444,27917324.859,Средний по возрасту
445,27492643.611,Средний по возрасту
446,29071014.313,Средний по возрасту
447,28085998.571,Средний по возрасту
448,27661067.74,Средний по возрасту
449,25980484.708,Средний по возрасту
450,26094615.338,Средний по возрасту
451,25263482.99,Средний по возрасту
452,27963749.672,Средний по возрасту
453,29498139.193,Средний по возрасту
454,27565885.269,Средний по возрасту
455,29787641.126,Средний по возрасту
456,89366368.989,Средний по возрасту
457,92326510.603,Средний по возрасту
458,101738263.781,Средний по возрасту
459,98286477.787,Средний по возрасту
460,100274932.231,Средний по возрасту
461,92724535.505,Средний по возрасту
462,90307905.388,Средний по возрасту
463,90771287.504,Средний по возрасту
464,92201495.006,Средний по возрасту
465,99593689.315,Средний по возрасту
466,102875810.346,Средний по возрасту
467,119884814.381,Средний по возрасту
468,62493171.13,Средний по возрасту
469,64074120.659,Средний по возрасту
470,68833373.291,Средний по возрасту
471,65409730.446,Средний по возрасту
472,67595823.241,Средний по возрасту
473,62293736.007,Средний по возрасту
474,63856807.816,Средний по возрасту
475,64132393.639,Средний по возрасту
476,67733278.836,Средний по возрасту
477,70962740.542,Средний по возрасту
478,70029476.896,Средний по возрасту
479,75828381.249,Средний по возрасту
480,38423118.437,Средний по возрасту
481,41021599.039,Средний по возрасту
482,45782178.191,Средний по возрасту
483,41800874.296,Средний по возрасту
484,45410776.88,Средний по возрасту
485,44563011.37,Средний по возрасту
486,47343372.332,Средний по возрасту
487,46530355.642,Средний по возрасту
488,46275012.228,Средний по возрасту
489,49951076.407,Средний по возрасту
490,51153923.73,Средний по возрасту
491,60994888.439,Средний по возрасту
492,33401481.265,Средний по возрасту
493,32224990.486,Средний по возрасту
494,34012495.714,Средний по возрасту
495,30765263.479,Средний по возрасту
496,31854145.99,Средний по возрасту
497,31069529.283,Средний по возрасту
498,32250108.941,Средний по возрасту
499,31877208.69,Средний по возрасту
500,32244436.839,Средний по возрасту
501,35181178.079,Средний по возрасту
502,33860086.703,Средний по возрасту
503,38271295.906,Средний по возрасту
504,42351160.895,Средний по возрасту
